arrondissements,cantons,communes,departements,regions,quartiers,QP
,,Rouen,,,,
,,Rouessé-Fontaine,,,,
,,Rouessé-Vassé,,,,
,,Rouet,,,,
,,Rouez,,,,
,,Rouffach,,,,
,,Rouffange,,,,
,,Rouffiac,,,,
,,Rouffiac-Tolosan,,,,
,,Rouffiac-d'Aude,,,,
,,Rouffiac-des-Corbières,,,,
,,Rouffignac,,,,
,,Rouffignac-Saint-Cernin-de-Reilhac,,,,
,,Rouffignac-de-Sigoulès,,,,
,,Rouffilhac,,,,
,,Rouffy,,,,
,,Rouge-Perriers,,,,
,,Rougefay,,,,
,,Rougegoutte,,,,
,,Rougemont,,,,
,,Rougemont-le-Château,,,,
,,Rougemontiers,,,,
,,Rougemontot,,,,
,,Rougeou,,,,
,,Rougeries,,,,
,,Rouges-Eaux,,,,
,,Rouget-Pers,,,,
,,Rougeux,,,,
,,Rougiers,,,,
,,Rougnac,,,,
,,Rougnat,,,,
,,Rougon,,,,
,,Rougé,,,,
,,Rouhe,,,,
,,Rouhling,,,,
,,Rouillac,,,,
,,Rouillon,,,,
,,Rouilly,,,,
,,Rouilly-Sacey,,,,
,,Rouilly-Saint-Loup,,,,
,,Rouillé,,,,
,,Roujan,,,,
,,Roulans,,,,
,,Roulier,,,,
,,Roullens,,,,
,,Roullet-Saint-Estèphe,,,,
,,Roumagne,,,,
,,Roumare,,,,
,,Roumazières-Loubert,,,,
,,Roumengoux,,,,
,,Roumens,,,,
,,Roumoules,,,,
,,Roumégoux,,,,
,,Rountzenheim,,,,
,,Roupeldange,,,,
,,Rouperroux,,,,
,,Rouperroux-le-Coquet,,,,
,,Roupy,,,,
,,Rouquette,,,,
,,Roura,,,,
,,Roure,,,,
,,Rouret,,,,
,,Rousies,,,,
,,Roussac,,,,
,,Roussas,,,,
,,Roussayrolles,,,,
,,Rousseloy,,,,
,,Roussennac,,,,
,,Roussent,,,,
,,Rousses,,,,
,,Rousset,,,,
,,Rousset-Marizy,,,,
,,Rousset-les-Vignes,,,,
,,Roussieux,,,,
,,Roussillon,,,,
,,Roussillon-en-Morvan,,,,
,,Roussines,,,,
,,Rousson,,,,
,,Roussy-le-Village,,,,
,,Routes,,,,
,,Routier,,,,
,,Routot,,,,
,,Rouvenac,,,,
,,Rouves,,,,
,,Rouvignies,,,,
,,Rouville,,,,
,,Rouvillers,,,,
,,Rouvière,,,,
,,Rouvray,,,,
,,Rouvray-Catillon,,,,
,,Rouvray-Saint-Denis,,,,
,,Rouvray-Sainte-Croix,,,,
,,Rouvrel,,,,
,,Rouvres,,,,
,,Rouvres-Saint-Jean,,,,
,,Rouvres-en-Multien,,,,
,,Rouvres-en-Plaine,,,,
,,Rouvres-en-Woëvre,,,,
,,Rouvres-en-Xaintois,,,,
,,Rouvres-la-Chétive,,,,
,,Rouvres-les-Bois,,,,
,,Rouvres-les-Vignes,,,,
,,Rouvres-sous-Meilly,,,,
,,Rouvres-sur-Aube,,,,
,,Rouvrois-sur-Meuse,,,,
,,Rouvrois-sur-Othain,,,,
,,Rouvroy,,,,
,,Rouvroy-Ripont,,,,
,,Rouvroy-en-Santerre,,,,
,,Rouvroy-les-Merles,,,,
,,Rouvroy-sur-Audry,,,,
,,Rouvroy-sur-Marne,,,,
,,Rouvroy-sur-Serre,,,,
,,Roux,,,,
,,Rouxmesnil-Bouteilles,,,,
,,Rouy,,,,
,,Rouy-le-Grand,,,,
,,Rouy-le-Petit,,,,
,,Rouze,,,,
,,Rouziers,,,,
,,Rouziers-de-Touraine,,,,
,,Rouzède,,,,
,,Rouède,,,,
,,Rouécourt,,,,
,,Rove,,,,
,,Roville-aux-Chênes,,,,
,,Roville-devant-Bayon,,,,
,,Rovon,,,,
,,Roy-Boissy,,,,
,,Royan,,,,
,,Royas,,,,
,,Royat,,,,
,,Royaucourt,,,,
,,Royaucourt-et-Chailvet,,,,
,,Royaumeix,,,,
,,Roybon,,,,
,,Roye,,,,
,,Roye-sur-Matz,,,,
,,Royer,,,,
,,Roynac,,,,
,,Royon,,,,
,,Royville,,,,
,,Royère-de-Vassivière,,,,
,,Royères,,,,
,,Roz-Landrieux,,,,
,,Roz-sur-Couesnon,,,,
,,Rozay-en-Brie,,,,
,,Rozel,,,,
,,Rozelieures,,,,
,,Rozerotte,,,,
,,Rozet-Saint-Albin,,,,
,,Rozier,,,,
,,Rozier-Côtes-d'Aurec,,,,
,,Rozier-en-Donzy,,,,
,,Roziers-Saint-Georges,,,,
,,Rozières-en-Beauce,,,,
,,Rozières-sur-Crise,,,,
,,Rozières-sur-Mouzon,,,,
,,Rozoy-Bellevalle,,,,
,,Rozoy-le-Vieil,,,,
,,Rozoy-sur-Serre,,,,
,,Rozès,,,,
,,Rozérieulles,,,,
,,Roézé-sur-Sarthe,,,,
,,Roë,,,,
,,Roëllecourt,,,,
,,Ruages,,,,
,,Ruan,,,,
,,Ruan-sur-Egvonne,,,,
,,Ruaudin,,,,
,,Rubelles,,,,
,,Rubempré,,,,
,,Rubercy,,,,
,,Rubescourt,,,,
,,Rubigny,,,,
,,Rubrouck,,,,
,,Ruca,,,,
,,Ruch,,,,
,,Rudeau-Ladosse,,,,
,,Rudelle,,,,
,,Rue,,,,
,,Rue-Saint-Pierre,,,,
,,Ruederbach,,,,
,,Rueil-Malmaison,,,,
,,Rueil-la-Gadelière,,,,
,,Ruelisheim,,,,
,,Ruelle-sur-Touvre,,,,
,,Rues-des-Vignes,,,,
,,Ruesnes,,,,
,,Rueyres,,,,
,,Ruffec,,,,
,,Ruffey-le-Château,,,,
,,Ruffey-lès-Beaune,,,,
,,Ruffey-lès-Echirey,,,,
,,Ruffey-sur-Seille,,,,
,,Ruffiac,,,,
,,Ruffieu,,,,
,,Ruffieux,,,,
,,Ruffigné,,,,
,,Rugles,,,,
,,Rugney,,,,
,,Rugny,,,,
,,Ruhans,,,,
,,Ruillé-Froid-Fonds,,,,
,,Ruillé-en-Champagne,,,,
,,Ruisseauville,,,,
,,Ruitz,,,,
,,Rullac-Saint-Cirq,,,,
,,Rully,,,,
,,Rumaucourt,,,,
,,Rumegies,,,,
,,Rumersheim-le-Haut,,,,
,,Rumesnil,,,,
,,Rumigny,,,,
,,Rumilly,,,,
,,Rumilly-en-Cambrésis,,,,
,,Rumilly-lès-Vaudes,,,,
,,Ruminghem,,,,
,,Rumont,,,,
,,Runan,,,,
,,Rungis,,,,
,,Ruoms,,,,
,,Ruppes,,,,
,,Rupt,,,,
,,Rupt-aux-Nonains,,,,
,,Rupt-devant-Saint-Mihiel,,,,
,,Rupt-en-Woëvre,,,,
,,Rupt-sur-Moselle,,,,
,,Rupt-sur-Othain,,,,
,,Rupt-sur-Saône,,,,
,,Rupéreux,,,,
,,Rurange-lès-Thionville,,,,
,,Rurey,,,,
,,Rusio,,,,
,,Russ,,,,
,,Russange,,,,
,,Russey,,,,
,,Russy-Bémont,,,,
,,Rustenhart,,,,
,,Rustiques,,,,
,,Rustrel,,,,
,,Rustroff,,,,
,,Rutali,,,,
,,Ruvigny,,,,
,,Ruy-Montceau,,,,
,,Ruyaulcourt,,,,
,,Ruynes-en-Margeride,,,,
,,Ry,,,,
,,Rye,,,,
,,Ryes,,,,
,,Râches,,,,
,,Rânes,,,,
,,Réal,,,,
,,Réalcamp,,,,
,,Réallon,,,,
,,Réalmont,,,,
,,Réalville,,,,
,,Réans,,,,
,,Réau,,,,
,,Réaumont,,,,
,,Réaumur,,,,
,,Réaup-Lisse,,,,
,,Réauville,,,,
,,Réaux sur Trèfle,,,,
,,Rébénacq,,,,
,,Réchicourt-la-Petite,,,,
,,Réchicourt-le-Château,,,,
,,Réchésy,,,,
,,Récicourt,,,,
,,Réclainville,,,,
,,Réclonville,,,,
,,Récourt,,,,
,,Récourt-le-Creux,,,,
,,Rédange,,,,
,,Rédené,,,,
,,Réding,,,,
,,Réez-Fosse-Martin,,,,
,,Régades,,,,
,,Régat,,,,
,,Régina,,,,
,,Régnié-Durette,,,,
,,Régny,,,,
,,Réguiny,,,,
,,Réguisheim,,,,
,,Régusse,,,,
,,Réhon,,,,
,,Réjaumont,,,,
,,Rémalard en Perche,,,,
,,Rémelfang,,,,
,,Rémelfing,,,,
,,Rémeling,,,,
,,Rémering,,,,
,,Rémering-lès-Puttelange,,,,
,,Rémilly,,,,
,,Réminiac,,,,
,,Rémondans-Vaivre,,,,
,,Rémuzat,,,,
,,Rémy,,,,
,,Rémécourt,,,,
,,Rémérangles,,,,
,,Réméréville,,,,
,,Réning,,,,
,,Réole,,,,
,,Réorthe,,,,
,,Réotier,,,,
,,Répara-Auriples,,,,
,,Réparsac,,,,
,,Réquista,,,,
,,Résenlieu,,,,
,,Résie-Saint-Martin,,,,
,,Résigny,,,,
,,Rétaud,,,,
,,Rétonval,,,,
,,Réunion,,,,
,,Réveillon,,,,
,,Réville,,,,
,,Réville-aux-Bois,,,,
,,Rézentières,,,,
,,Rônai,,,,
,,Rœschwoog,,,,
,,Rœulx,,,,
,,Rœux,,,,
,,Saales,,,,
,,Saasenheim,,,,
,,Sabadel-Latronquière,,,,
,,Sabadel-Lauzès,,,,
,,Sabaillan,,,,
,,Sabalos,,,,
,,Sabarat,,,,
,,Sabarros,,,,
,,Sabazan,,,,
,,Sables-d'Olonne,,,,
,,Sablet,,,,
,,Sablières,,,,
,,Sablonceaux,,,,
,,Sablonnières,,,,
,,Sablons,,,,
,,Sablons sur Huisne,,,,
,,Sablé-sur-Sarthe,,,,
,,Sabonnères,,,,
,,Sabotterie,,,,
,,Sabran,,,,
,,Sabres,,,,
,,Saccourvielle,,,,
,,Sacey,,,,
,,Sachin,,,,
,,Sachy,,,,
,,Saché,,,,
,,Sacierges-Saint-Martin,,,,
,,Saclas,,,,
,,Saclay,,,,
,,Saconin-et-Breuil,,,,
,,Sacoué,,,,
,,Sacquenay,,,,
,,Sacquenville,,,,
,,Sacy,,,,
,,Sacy-le-Grand,,,,
,,Sacy-le-Petit,,,,
,,Sacé,,,,
,,Sada,,,,
,,Sadeillan,,,,
,,Sadillac,,,,
,,Sadirac,,,,
,,Sadournin,,,,
,,Sadroc,,,,
,,Saessolsheim,,,,
,,Saffais,,,,
,,Saffloz,,,,
,,Saffres,,,,
,,Saffré,,,,
,,Sagelat,,,,
,,Sagnat,,,,
,,Sagnes-et-Goudoulet,,,,
,,Sagonne,,,,
,,Sagy,,,,
,,Sahorre,,,,
,,Sahune,,,,
,,Sahurs,,,,
,,Sai,,,,
,,Saignes,,,,
,,Saigneville,,,,
,,Saignon,,,,
,,Saiguède,,,,
,,Sail-les-Bains,,,,
,,Sail-sous-Couzan,,,,
,,Sailhan,,,,
,,Saillac,,,,
,,Saillagouse,,,,
,,Saillans,,,,
,,Saillant,,,,
,,Saillat-sur-Vienne,,,,
,,Saillenard,,,,
,,Sailly,,,,
,,Sailly-Achâtel,,,,
,,Sailly-Flibeaucourt,,,,
,,Sailly-Labourse,,,,
,,Sailly-Laurette,,,,
,,Sailly-Saillisel,,,,
,,Sailly-au-Bois,,,,
,,Sailly-en-Ostrevent,,,,
,,Sailly-le-Sec,,,,
,,Sailly-lez-Cambrai,,,,
,,Sailly-lez-Lannoy,,,,
,,Sailly-sur-la-Lys,,,,
,,Sain-Bel,,,,
,,Saincaize-Meauce,,,,
,,Sainghin-en-Mélantois,,,,
,,Sainghin-en-Weppes,,,,
,,Sainneville,,,,
,,Sainpuits,,,,
,,Sains,,,,
,,Sains-Morainvillers,,,,
,,Sains-Richaumont,,,,
,,Sains-du-Nord,,,,
,,Sains-en-Amiénois,,,,
,,Sains-en-Gohelle,,,,
,,Sains-lès-Fressin,,,,
,,Sains-lès-Marquion,,,,
,,Sains-lès-Pernes,,,,
,,Saint,,,,
,,Saint Antoine l'Abbaye,,,,
,,Saint Aulaye-Puymangou,,,,
,,Saint Bonnet-Laval,,,,
,,Saint François Longchamp,,,,
,,Saint Geniez d'Olt et d'Aubrac,,,,
,,Saint Géry-Vers,,,,
,,Saint Martin de l'If,,,,
,,Saint Martin la Pallu,,,,
,,Saint Maurice Étusson,,,,
,,Saint Privat en Périgord,,,,
,,Saint-Abit,,,,
,,Saint-Abraham,,,,
,,Saint-Acheul,,,,
,,Saint-Adjutory,,,,
,,Saint-Adrien,,,,
,,Saint-Affrique,,,,
,,Saint-Affrique-les-Montagnes,,,,
,,Saint-Agathon,,,,
,,Saint-Agnan,,,,
,,Saint-Agnan-de-Cernières,,,,
,,Saint-Agnan-en-Vercors,,,,
,,Saint-Agnan-sur-Sarthe,,,,
,,Saint-Agnant,,,,
,,Saint-Agnant-de-Versillat,,,,
,,Saint-Agnant-près-Crocq,,,,
,,Saint-Agne,,,,
,,Saint-Agnet,,,,
,,Saint-Agnin-sur-Bion,,,,
,,Saint-Agoulin,,,,
,,Saint-Agrève,,,,
,,Saint-Aignan,,,,
,,Saint-Aignan-Grandlieu,,,,
,,Saint-Aignan-de-Couptrain,,,,
,,Saint-Aignan-de-Cramesnil,,,,
,,Saint-Aignan-des-Noyers,,,,
,,Saint-Aignan-le-Jaillard,,,,
,,Saint-Aignan-sur-Roë,,,,
,,Saint-Aignan-sur-Ry,,,,
,,Saint-Aigny,,,,
,,Saint-Aigulin,,,,
,,Saint-Ail,,,,
,,Saint-Albain,,,,
,,Saint-Alban,,,,
,,Saint-Alban-Auriolles,,,,
,,Saint-Alban-Leysse,,,,
,,Saint-Alban-d'Ay,,,,
,,Saint-Alban-d'Hurtières,,,,
,,Saint-Alban-de-Montbel,,,,
,,Saint-Alban-de-Roche,,,,
,,Saint-Alban-des-Villards,,,,
,,Saint-Alban-du-Rhône,,,,
,,Saint-Alban-en-Montagne,,,,
,,Saint-Alban-les-Eaux,,,,
,,Saint-Alban-sur-Limagnole,,,,
,,Saint-Albin-de-Vaulserre,,,,
,,Saint-Alexandre,,,,
,,Saint-Algis,,,,
,,Saint-Allouestre,,,,
,,Saint-Alpinien,,,,
,,Saint-Alyre-d'Arlanc,,,,
,,Saint-Alyre-ès-Montagne,,,,
,,Saint-Amadou,,,,
,,Saint-Amancet,,,,
,,Saint-Amand,,,,
,,Saint-Amand-Jartoudeix,,,,
,,Saint-Amand-Longpré,,,,
,,Saint-Amand-Magnazeix,,,,
,,Saint-Amand-Montrond,,,,
,,Saint-Amand-Villages,,,,
,,Saint-Amand-de-Coly,,,,
,,Saint-Amand-de-Vergt,,,,
,,Saint-Amand-en-Puisaye,,,,
,,Saint-Amand-le-Petit,,,,
,,Saint-Amand-les-Eaux,,,,
,,Saint-Amand-sur-Fion,,,,
,,Saint-Amand-sur-Ornain,,,,
,,Saint-Amand-sur-Sèvre,,,,
,,Saint-Amandin,,,,
,,Saint-Amans,,,,
,,Saint-Amans-Soult,,,,
,,Saint-Amans-Valtoret,,,,
,,Saint-Amans-de-Pellagal,,,,
,,Saint-Amans-des-Cots,,,,
,,Saint-Amans-du-Pech,,,,
,,Saint-Amant-Roche-Savine,,,,
,,Saint-Amant-Tallende,,,,
,,Saint-Amant-de-Boixe,,,,
,,Saint-Amant-de-Nouère,,,,
,,Saint-Amarin,,,,
,,Saint-Ambreuil,,,,
,,Saint-Ambroix,,,,
,,Saint-Amour,,,,
,,Saint-Amour-Bellevue,,,,
,,Saint-Amé,,,,
,,Saint-Andelain,,,,
,,Saint-Andeux,,,,
,,Saint-Andiol,,,,
,,Saint-Androny,,,,
,,Saint-André,,,,
,,Saint-André-Capcèze,,,,
,,Saint-André-Farivillers,,,,
,,Saint-André-Goule-d'Oie,,,,
,,Saint-André-Lachamp,,,,
,,Saint-André-d'Allas,,,,
,,Saint-André-d'Apchon,,,,
,,Saint-André-d'Embrun,,,,
,,Saint-André-d'Huiriat,,,,
,,Saint-André-d'Hébertot,,,,
,,Saint-André-d'Olérargues,,,,
,,Saint-André-de-Bohon,,,,
,,Saint-André-de-Boëge,,,,
,,Saint-André-de-Briouze,,,,
,,Saint-André-de-Buèges,,,,
,,Saint-André-de-Bâgé,,,,
,,Saint-André-de-Chalencon,,,,
,,Saint-André-de-Corcy,,,,
,,Saint-André-de-Cruzières,,,,
,,Saint-André-de-Cubzac,,,,
,,Saint-André-de-Double,,,,
,,Saint-André-de-Lancize,,,,
,,Saint-André-de-Lidon,,,,
,,Saint-André-de-Majencoules,,,,
,,Saint-André-de-Messei,,,,
,,Saint-André-de-Najac,,,,
,,Saint-André-de-Roquelongue,,,,
,,Saint-André-de-Roquepertuis,,,,
,,Saint-André-de-Rosans,,,,
,,Saint-André-de-Sangonis,,,,
,,Saint-André-de-Seignanx,,,,
,,Saint-André-de-Valborgne,,,,
,,Saint-André-de-Vézines,,,,
,,Saint-André-de-l'Eure,,,,
,,Saint-André-de-l'Épine,,,,
,,Saint-André-de-la-Roche,,,,
,,Saint-André-des-Eaux,,,,
,,Saint-André-du-Bois,,,,
,,Saint-André-en-Barrois,,,,
,,Saint-André-en-Bresse,,,,
,,Saint-André-en-Morvan,,,,
,,Saint-André-en-Royans,,,,
,,Saint-André-en-Terre-Plaine,,,,
,,Saint-André-en-Vivarais,,,,
,,Saint-André-et-Appelles,,,,
,,Saint-André-la-Côte,,,,
,,Saint-André-le-Bouchoux,,,,
,,Saint-André-le-Coq,,,,
,,Saint-André-le-Désert,,,,
,,Saint-André-le-Gaz,,,,
,,Saint-André-le-Puy,,,,
,,Saint-André-les-Alpes,,,,
,,Saint-André-les-Vergers,,,,
,,Saint-André-lez-Lille,,,,
,,Saint-André-sur-Cailly,,,,
,,Saint-André-sur-Orne,,,,
,,Saint-André-sur-Sèvre,,,,
,,Saint-André-sur-Vieux-Jonc,,,,
,,Saint-Andéol,,,,
,,Saint-Andéol-de-Berg,,,,
,,Saint-Andéol-de-Fourchades,,,,
,,Saint-Andéol-de-Vals,,,,
,,Saint-Ange-et-Torçay,,,,
,,Saint-Ange-le-Viel,,,,
,,Saint-Angel,,,,
,,Saint-Anthot,,,,
,,Saint-Anthème,,,,
,,Saint-Antoine,,,,
,,Saint-Antoine-de-Breuilh,,,,
,,Saint-Antoine-de-Ficalba,,,,
,,Saint-Antoine-du-Queyret,,,,
,,Saint-Antoine-du-Rocher,,,,
,,Saint-Antoine-la-Forêt,,,,
,,Saint-Antoine-sur-l'Isle,,,,
,,Saint-Antonin,,,,
,,Saint-Antonin-Noble-Val,,,,
,,Saint-Antonin-de-Lacalm,,,,
,,Saint-Antonin-de-Sommaire,,,,
,,Saint-Antonin-du-Var,,,,
,,Saint-Antonin-sur-Bayon,,,,
,,Saint-Aoustrille,,,,
,,Saint-Août,,,,
,,Saint-Apollinaire,,,,
,,Saint-Apollinaire-de-Rias,,,,
,,Saint-Appolinaire,,,,
,,Saint-Appolinard,,,,
,,Saint-Aquilin,,,,
,,Saint-Aquilin-de-Corbion,,,,
,,Saint-Araille,,,,
,,Saint-Arailles,,,,
,,Saint-Arcons-d'Allier,,,,
,,Saint-Arcons-de-Barges,,,,
,,Saint-Arey,,,,
,,Saint-Armel,,,,
,,Saint-Armou,,,,
,,Saint-Arnac,,,,
,,Saint-Arnoult,,,,
,,Saint-Arnoult-des-Bois,,,,
,,Saint-Arnoult-en-Yvelines,,,,
,,Saint-Arroman,,,,
,,Saint-Arroumex,,,,
,,Saint-Astier,,,,
,,Saint-Auban,,,,
,,Saint-Auban-d'Oze,,,,
,,Saint-Auban-sur-l'Ouvèze,,,,
,,Saint-Aubert,,,,
,,Saint-Aubin,,,,
,,Saint-Aubin-Celloville,,,,
,,Saint-Aubin-Fosse-Louvain,,,,
,,Saint-Aubin-Montenoy,,,,
,,Saint-Aubin-Rivière,,,,
,,Saint-Aubin-Routot,,,,
,,Saint-Aubin-d'Appenai,,,,
,,Saint-Aubin-d'Arquenay,,,,
,,Saint-Aubin-d'Aubigné,,,,
,,Saint-Aubin-d'Écrosville,,,,
,,Saint-Aubin-de-Blaye,,,,
,,Saint-Aubin-de-Bonneval,,,,
,,Saint-Aubin-de-Branne,,,,
,,Saint-Aubin-de-Cadelech,,,,
,,Saint-Aubin-de-Courteraie,,,,
,,Saint-Aubin-de-Crétot,,,,
,,Saint-Aubin-de-Lanquais,,,,
,,Saint-Aubin-de-Locquenay,,,,
,,Saint-Aubin-de-Médoc,,,,
,,Saint-Aubin-de-Nabirat,,,,
,,Saint-Aubin-de-Scellon,,,,
,,Saint-Aubin-de-Terregatte,,,,
,,Saint-Aubin-des-Bois,,,,
,,Saint-Aubin-des-Chaumes,,,,
,,Saint-Aubin-des-Châteaux,,,,
,,Saint-Aubin-des-Coudrais,,,,
,,Saint-Aubin-des-Landes,,,,
,,Saint-Aubin-des-Ormeaux,,,,
,,Saint-Aubin-des-Préaux,,,,
,,Saint-Aubin-du-Cormier,,,,
,,Saint-Aubin-du-Désert,,,,
,,Saint-Aubin-du-Perron,,,,
,,Saint-Aubin-du-Plain,,,,
,,Saint-Aubin-du-Thenney,,,,
,,Saint-Aubin-en-Bray,,,,
,,Saint-Aubin-en-Charollais,,,,
,,Saint-Aubin-la-Plaine,,,,
,,Saint-Aubin-le-Cauf,,,,
,,Saint-Aubin-le-Cloud,,,,
,,Saint-Aubin-le-Dépeint,,,,
,,Saint-Aubin-le-Monial,,,,
,,Saint-Aubin-le-Vertueux,,,,
,,Saint-Aubin-les-Forges,,,,
,,Saint-Aubin-lès-Elbeuf,,,,
,,Saint-Aubin-sous-Erquery,,,,
,,Saint-Aubin-sur-Aire,,,,
,,Saint-Aubin-sur-Gaillon,,,,
,,Saint-Aubin-sur-Loire,,,,
,,Saint-Aubin-sur-Mer,,,,
,,Saint-Aubin-sur-Quillebeuf,,,,
,,Saint-Aubin-sur-Scie,,,,
,,Saint-Aubin-sur-Yonne,,,,
,,Saint-Aubin-Épinay,,,,
,,Saint-Augustin,,,,
,,Saint-Augustin-des-Bois,,,,
,,Saint-Aulaire,,,,
,,Saint-Aulais-la-Chapelle,,,,
,,Saint-Aunix-Lengros,,,,
,,Saint-Aunès,,,,
,,Saint-Aupre,,,,
,,Saint-Austremoine,,,,
,,Saint-Auvent,,,,
,,Saint-Avaugourd-des-Landes,,,,
,,Saint-Aventin,,,,
,,Saint-Avertin,,,,
,,Saint-Avit,,,,
,,Saint-Avit-Frandat,,,,
,,Saint-Avit-Rivière,,,,
,,Saint-Avit-Saint-Nazaire,,,,
,,Saint-Avit-Sénieur,,,,
,,Saint-Avit-de-Soulège,,,,
,,Saint-Avit-de-Tardes,,,,
,,Saint-Avit-de-Vialard,,,,
,,Saint-Avit-le-Pauvre,,,,
,,Saint-Avit-les-Guespières,,,,
,,Saint-Avold,,,,
,,Saint-Avre,,,,
,,Saint-Avé,,,,
,,Saint-Ay,,,,
,,Saint-Aybert,,,,
,,Saint-Babel,,,,
,,Saint-Baldoph,,,,
,,Saint-Bandry,,,,
,,Saint-Baraing,,,,
,,Saint-Barbant,,,,
,,Saint-Bard,,,,
,,Saint-Bardoux,,,,
,,Saint-Barnabé,,,,
,,Saint-Barthélemy,,,,
,,Saint-Barthélemy-Grozon,,,,
,,Saint-Barthélemy-Lestra,,,,
,,Saint-Barthélemy-d'Agenais,,,,
,,Saint-Barthélemy-d'Anjou,,,,
,,Saint-Barthélemy-de-Bellegarde,,,,
,,Saint-Barthélemy-de-Bussière,,,,
,,Saint-Barthélemy-de-Séchilienne,,,,
,,Saint-Barthélemy-de-Vals,,,,
,,Saint-Barthélemy-le-Meil,,,,
,,Saint-Barthélemy-le-Plain,,,,
,,Saint-Basile,,,,
,,Saint-Baslemont,,,,
,,Saint-Baudel,,,,
,,Saint-Baudelle,,,,
,,Saint-Baudille-de-la-Tour,,,,
,,Saint-Baudille-et-Pipet,,,,
,,Saint-Baussant,,,,
,,Saint-Bauzeil,,,,
,,Saint-Bauzile,,,,
,,Saint-Bauzille-de-Montmel,,,,
,,Saint-Bauzille-de-Putois,,,,
,,Saint-Bauzille-de-la-Sylve,,,,
,,Saint-Bauzély,,,,
,,Saint-Bazile,,,,
,,Saint-Bazile-de-Meyssac,,,,
,,Saint-Beaulize,,,,
,,Saint-Beauzeil,,,,
,,Saint-Beauzile,,,,
,,Saint-Beauzire,,,,
,,Saint-Beauzély,,,,
,,Saint-Benin,,,,
,,Saint-Benin-d'Azy,,,,
,,Saint-Benin-des-Bois,,,,
,,Saint-Benoist-sur-Mer,,,,
,,Saint-Benoist-sur-Vanne,,,,
,,Saint-Benoit-en-Diois,,,,
,,Saint-Benoît,,,,
,,Saint-Benoît-d'Hébertot,,,,
,,Saint-Benoît-de-Carmaux,,,,
,,Saint-Benoît-des-Ombres,,,,
,,Saint-Benoît-des-Ondes,,,,
,,Saint-Benoît-du-Sault,,,,
,,Saint-Benoît-la-Chipotte,,,,
,,Saint-Benoît-la-Forêt,,,,
,,Saint-Benoît-sur-Loire,,,,
,,Saint-Benoît-sur-Seine,,,,
,,Saint-Berain-sous-Sanvignes,,,,
,,Saint-Bernard,,,,
,,Saint-Berthevin,,,,
,,Saint-Berthevin-la-Tannière,,,,
,,Saint-Bertrand-de-Comminges,,,,
,,Saint-Biez-en-Belin,,,,
,,Saint-Bihy,,,,
,,Saint-Blaise,,,,
,,Saint-Blaise-du-Buis,,,,
,,Saint-Blaise-la-Roche,,,,
,,Saint-Blancard,,,,
,,Saint-Blimont,,,,
,,Saint-Blin,,,,
,,Saint-Bohaire,,,,
,,Saint-Boil,,,,
,,Saint-Boingt,,,,
,,Saint-Bomer,,,,
,,Saint-Bon,,,,
,,Saint-Bonnet,,,,
,,Saint-Bonnet-Avalouze,,,,
,,Saint-Bonnet-Briance,,,,
,,Saint-Bonnet-Elvert,,,,
,,Saint-Bonnet-Tronçais,,,,
,,Saint-Bonnet-de-Bellac,,,,
,,Saint-Bonnet-de-Chavagne,,,,
,,Saint-Bonnet-de-Chirac,,,,
,,Saint-Bonnet-de-Condat,,,,
,,Saint-Bonnet-de-Cray,,,,
,,Saint-Bonnet-de-Four,,,,
,,Saint-Bonnet-de-Joux,,,,
,,Saint-Bonnet-de-Mure,,,,
,,Saint-Bonnet-de-Rochefort,,,,
,,Saint-Bonnet-de-Salendrinque,,,,
,,Saint-Bonnet-de-Salers,,,,
,,Saint-Bonnet-de-Valclérieux,,,,
,,Saint-Bonnet-de-Vieille-Vigne,,,,
,,Saint-Bonnet-des-Bruyères,,,,
,,Saint-Bonnet-des-Quarts,,,,
,,Saint-Bonnet-du-Gard,,,,
,,Saint-Bonnet-en-Bresse,,,,
,,Saint-Bonnet-en-Champsaur,,,,
,,Saint-Bonnet-l'Enfantier,,,,
,,Saint-Bonnet-la-Rivière,,,,
,,Saint-Bonnet-le-Bourg,,,,
,,Saint-Bonnet-le-Chastel,,,,
,,Saint-Bonnet-le-Château,,,,
,,Saint-Bonnet-le-Courreau,,,,
,,Saint-Bonnet-le-Froid,,,,
,,Saint-Bonnet-le-Troncy,,,,
,,Saint-Bonnet-les-Oules,,,,
,,Saint-Bonnet-les-Tours-de-Merle,,,,
,,Saint-Bonnet-lès-Allier,,,,
,,Saint-Bonnet-près-Bort,,,,
,,Saint-Bonnet-près-Orcival,,,,
,,Saint-Bonnet-près-Riom,,,,
,,Saint-Bonnet-sur-Gironde,,,,
,,Saint-Bonnot,,,,
,,Saint-Bouize,,,,
,,Saint-Boès,,,,
,,Saint-Brancher,,,,
,,Saint-Branchs,,,,
,,Saint-Brandan,,,,
,,Saint-Bresson,,,,
,,Saint-Bressou,,,,
,,Saint-Brevin-les-Pins,,,,
,,Saint-Briac-sur-Mer,,,,
,,Saint-Brice,,,,
,,Saint-Brice-Courcelles,,,,
,,Saint-Brice-de-Landelles,,,,
,,Saint-Brice-sous-Forêt,,,,
,,Saint-Brice-sous-Rânes,,,,
,,Saint-Brice-sur-Vienne,,,,
,,Saint-Brieuc,,,,
,,Saint-Brieuc-de-Mauron,,,,
,,Saint-Brieuc-des-Iffs,,,,
